Source,picture,Catalog#,Lizard_ID,Species,Sex,Status,Collection_Date,collector,Locality,Collection_Notes,Dissection_Notes,Country,Latitude,Longitude,State,elevation,County,spatial_accuracy,Study,georef_verif,SVL,insert_elbow,Tail,elbow_wrist,Tail Diam,wrist_3rd,HL,trunk,HW,Tail Circum,HL_ear_rostral,Mass_grams,
AMNH,,64222,AMNH64222,horridum,,,8/27/1942,C.M. Bogert,Alamos,,,Mexico,27.0267124,-108.9400005,Sonora,382,,5,,Yes,,,,,,,,,,,,,
AMNH,,64223,AMNH64223,horridum,,,8/27/1942,C.M. Bogert,Alamos,,,Mexico,27.0267124,-108.9400005,Sonora,382,,5,,Yes,,,,,,,,,,,,,
AMNH,,64224,AMNH64224,horridum,,,8/27/1942,C.M. Bogert,Alamos,,,Mexico,27.0267124,-108.9400005,Sonora,382,,5,,Yes,,,,,,,,,,,,,
AMNH,,65863,AMNH65863,horridum,,,1945,T.C. MacDougall,Cintalapa,,,Mexico,,,Chiapas,,,,,,,,,,,,,,,,,,
AMNH,,66074,AMNH66074,horridum,,,1937,W. Mosauer,"Laguna Coyuca, Acapulco",,,Mexico,,,Guerrero,,,,,,,,,,,,,,,,,,
AMNH,,68149,AMNH68149,horridum,,,10/6/1946,T.C. MacDougall,Bisilana near Quiengola,,,Mexico,,,Oaxaca,,,,,,,,,,,,,,,,,,
AMNH,,70538,AMNH70538,horridum,,,11/22/1949,A.M. del Toro,"Cintalapa, El Refugio (600 m )",,,Mexico,,,Chiapas,,,,,,,,,,,,,,,,,,
AMNH,,70539,AMNH70539,horridum,,,12/14/1949,A.M. del Toro,"Tuxtla Gutierrez, El Sumidero (550 m)",,,Mexico,,,Chiapas,, ,,,,,,,,,,,,,,,,
AMNH,,71081,AMNH71081,horridum,,,5/20/1950,M. Alvarez del Toro,"El Gavilan, Ocozocoautla (650 m)",,,Mexico,,,Chiapas,,,,,,,,,,,,,,,,,,
AMNH,,71664,AMNH71664,horridum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,73384,AMNH73384,horridum,,,Unknown,,locality data presumed,,,Mexico,,,Colima,,,,,,,,,,,,,,,,,,
AMNH,,74940,AMNH74940,horridum,,,Jul-55,B. Malkin,Jesus Maria,,,Mexico,,,Nayarit,,,,,,,,,,,,,,,,,,
AMNH,,74941,AMNH74941,horridum,,,6/27/1955,B. Malkin,Jesus Maria,,,Mexico,,,Nayarit,,,,,,,,,,,,,,,,,,
AMNH,,74943,AMNH74943,horridum,,,7/20/1955,B. Malkin,La Mesa de Nayarit,,,Mexico,,,Nayarit,,,,,,,,,,,,,,,,,,
AMNH,,75330,AMNH75330,horridum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,87390,AMNH87390,horridum,,,Unknown,A.M. Taub,Mexico (probably Colima),CMG: georefed as Colima City,,Mexico,19.23466,-103.7246704,Colima,,,10,,Yes,,,,,,,,,,,,,
AMNH,,106893,AMNH106893,horridum,,,7/21/1970,C.M. Bogert,"Disto de Tlacolula, 7 mi. (via rd.) SE Totolapam",,,Mexico,,,Oaxaca,,,,,,,,,,,,,,,,,,
AMNH,,110173,AMNH110173,horridum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,118700,AMNH118700,horridum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,118701,AMNH118701,horridum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,137712,AMNH137712,horridum,,,Unknown,M. Alvarez del Toro,No locality data,,,Mexico,,,Chiapas,,,,,,,,,,,,,,,,,,
AMNH,,147307,AMNH147307,horridum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,605,AMNH605,suspectum,,,"Aug, 1906","Ruthven, vonKrockow, Trimmer","mesa near the mouth of Sabino Canyon, Santa Catalina Mts, Tucson",,,USA,32.322025,-110.808871,Arizona,852,Pima,5,,Yes,,,,,,,,,,,,,
AMNH,,616,AMNH616,suspectum,,,Unknown,,Silver City,probably erroneous collection data.,,USA,32.775131,-108.27693,New Mexico,1801,Grant,10,,Yes,,,,,,,,,,,,,
AMNH,,2564,AMNH2564,suspectum,,,8/25/1912,McDickerson,"Oracle Rd, 20 miles from Tucson",,,USA,32.521492,-110.926416,Arizona,980,Pima,10,,Yes,,,,,,,,,,,,,
AMNH,,2567,AMNH2567,suspectum,,,8/31/1912,McDickerson,"Arroyo W of Laboratory Mts, Tucson Mts, Tumamoc Hill",,,USA,32.213563,-111.005617,Arizona,939,Pima,5,,Yes,,,,,,,,,,,,,
AMNH,,2568,AMNH2568,suspectum,,,8/31/1912,McDickerson,"Arroyo W of Laboratory Mts, Tucson Mts, Tumamoc Hill",,,USA,32.213563,-111.005617,Arizona,939,Pima,5,,Yes,,,,,,,,,,,,,
AMNH,,5238,AMNH5238,suspectum,,,Unknown,NY Zool Society,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,7221,AMNH7221,suspectum,,,1890,Robinette,north Sonora,insufficient locality information,,Mexico,,,Sonora,,,,,ref not possible,,,,,,,,,,,,,
AMNH,,7246,AMNH7246,suspectum,,,"April 22, 1889",EA Means,Fort Verde,,,USA,34.5704717,-111.8552398,Arizona,939,Yavapai,5,,Yes,,,,,,,,,,,,,
AMNH,,7456,AMNH7456,suspectum,,,4/28/1919,WH Rogers,Las Vegas,,,USA,36.174955,-115.136145,Nevada,612,Clark,20,,Yes,,,,,,,,,,,,,
AMNH,,8728,AMNH8728,suspectum,,,10/14/1916,CW Beebe,Phoenix,,,USA,33.448318,-112.073179,Arizona,341,Maricopa,20,,Yes,,,,,,,,,,,,,
AMNH,,9661,AMNH9661,suspectum,,,6/7/1918,RDO Johnson,Phoenix,,,USA,33.448318,-112.073179,Arizona,341,Maricopa,20,,Yes,,,,,,,,,,,,,
AMNH,,23896,AMNH23896,suspectum,,,Unknown,,No locality data,,,USA,,,Arizona,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,25195,AMNH25195,suspectum,,,Unknown,,No locality data,,,USA,,,Arizona,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,26076,AMNH26076,suspectum,,,8/14/1923,Al Ortenberger,"near Canyon O, ca 0.25mi SE of Pusch's Steam Pump; 12.5 m N Tucson on Oracle Rd.",,,USA,32.549612,-110.929895,Arizona,1010,Pima,1,,Yes,,,,,,,,,,,,,
AMNH,,26077,AMNH26077,suspectum,,,8/17/1923,Al Ortenberger,10mi N of Tucson,"Exchange to Museo Nacional, Santiago, Chile (10 Mar. 1958) ",,USA,32.511676,-110.925108,Arizona,967,Pima,10,,Yes,,,,,,,,,,,,,
AMNH,,26078,AMNH26078,suspectum,,,8/3/1923,Al Ortenberger,"14mi N of Tucson, near Oracle Rd.",,,USA,32.570549,-110.922531,Arizona,1044,Pima,10,,Yes,,,,,,,,,,,,,
AMNH,,26079,AMNH26079,suspectum,,,8/10/1923,Al Ortenberger,No locality data,Insufficient locality data (CMG),,USA,,,Arizona,,Pima,,,ref not possible,,,,,,,,,,,,,
AMNH,,26080,AMNH26080,suspectum,,,8/11/1923,Al Ortenberger,22mi N of Tucson; N of Pinal Co line,,,USA,32.5317628,-110.9303283,Arizona,987,Pinal,15,,Yes,,,,,,,,,,,,,
AMNH,,26081,AMNH26081,suspectum,,,8/12/1923,Al Ortenberger,6mi N of Tucson,,,USA,32.452648,-110.931087,Arizona,884,Pima,10,,Yes,,,,,,,,,,,,,
AMNH,,26082,AMNH26082,suspectum,,,8/12/1923,Al Ortenberger,No locality data,Insufficient locality data (CMG),,USA,,,Arizona,,Pima,,,ref not possible,,,,,,,,,,,,,
AMNH,,26083,AMNH26083,suspectum,,,8/19/1923,Al Ortenberger,12mi NW of Tucson on Casa Grande Rd,,,USA,32.407805,-111.139626,Arizona,632,Pima,10,,Yes,,,,,,,,,,,,,
AMNH,,26084,AMNH26084,suspectum,,,8/19/1923,Al Ortenberger,ridge 1.5mi S of Pusch's Steam Pump; ca 12.5mi N of Tucson on Oracle Rd.,,,USA,32.4101103,-110.9405422,Arizona,801,Pima,10,,Yes,,,,,,,,,,,,,
AMNH,,26085,AMNH26085,suspectum,,,8/27/1923,Al Ortenberger,No locality data,Insufficient locality data (CMG),,USA,,,Arizona,,Pima,,,ref not possible,,,,,,,,,,,,,
AMNH,,26086,AMNH26086,suspectum,,,8/27/1923,Al Ortenberger,No locality data,Insufficient locality data (CMG),,USA,,,Arizona,,Pima,,,ref not possible,,,,,,,,,,,,,
AMNH,,26087,AMNH26087,suspectum,,,8/27/1923,Al Ortenberger,No locality data,Insufficient locality data (CMG),,USA,,,Arizona,,Pima,,,ref not possible,,,,,,,,,,,,,
AMNH,,26088,AMNH26088,suspectum,,,8/30/1923,Al Ortenberger,No locality data,Insufficient locality data (CMG),,USA,,,Arizona,,Pima,,,ref not possible,,,,,,,,,,,,,
AMNH,,26089,AMNH26089,suspectum,,,8/30/1923,Al Ortenberger,No locality data,Insufficient locality data (CMG),,USA,,,Arizona,,Pima,,,ref not possible,,,,,,,,,,,,,
AMNH,,27190,AMNH27190,suspectum,,,"July, 1923",Al Ortenberger,No locality data,Insufficient locality data (CMG),,USA,,,Arizona,,Pima,,,ref not possible,,,,,,,,,,,,,
AMNH,,27200,AMNH27200,suspectum,,,1923,Mr. And Mrs Al Ortenberger,No locality data,Insufficient locality data (CMG),,USA,,,Arizona,,Pima,,,ref not possible,,,,,,,,,,,,,
AMNH,,31699,AMNH31699,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,31925,AMNH31925,suspectum,,,10/29/1926,NY Zoological Society,No locality data,,,USA,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,44597,AMNH44597,suspectum,,,Unknown,NY Zoological Society,No locality data,,,USA,,,Arizona,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,45014,AMNH45014,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,45015,AMNH45015,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,45016,AMNH45016,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,45017,AMNH45017,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,45018,AMNH45018,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,45019,AMNH45019,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,45020,AMNH45020,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,45021,AMNH45021,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,46266,AMNH46266,suspectum,,,1931,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,46267,AMNH46267,suspectum,,,1931,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,46795,AMNH46795,suspectum,,,1931,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,56432,AMNH56432,suspectum,,,5/24/1954,(Purchased form F.R. Miller),No locality data,,,USA,,,Arizona,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,57360,AMNH57360,suspectum,,,Jul-53,C.H. Lowe,Oracle Junction,,,USA,32.554007,-110.931963,Arizona,1011,Pinal,5,,Yes,,,,,,,,,,,,,
AMNH,,62518,AMNH62518,suspectum,,,1938,W.H. Woodin 3rd,No locality data,,,USA,,,Arizona,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,62707,AMNH62707,suspectum,,,1940,W.B. Richardson (Archbold),3.5 mi. West of Tanque Verde,,,USA,32.257049,-110.795813,Arizona,781,Pima,10,,Yes,,,,,,,,,,,,,
AMNH,,63785,AMNH63785,suspectum,,,7/11/1941,Kauffeld,"Bear Canyon, Santa Catalina Mts., NE of Tucson",,,USA,32.302672,-110.799685,Arizona,815,Pima,10,,Yes,,,,,,,,,,,,,
AMNH,,63786,AMNH63786,suspectum,,,7/11/1941,Kauffeld,"Bear Canyon, Santa Catalina Mts., NE of Tucson",,,USA,32.302672,-110.799685,Arizona,815,Pima,10,,Yes,,,,,,,,,,,,,
AMNH,,66998,AMNH66998,suspectum,,,5/7/1946,C.M. Bogert,16 mi. South of Oracle Junction,,,USA,32.325557,-110.974619,Arizona,763,Pima,10,,Yes,,,,,,,,,,,,,
AMNH,,71082,AMNH71082,suspectum,,,Unknown,NY Zoolical Society,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,71187,AMNH71187,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,71864,AMNH71864,suspectum,,,1950,C.M. Bogert,Tucson,,,USA,32.230954,32.230954,Arizona,751,Pima,10,,Yes,,,,,,,,,,,,,
AMNH,,72417,AMNH72417,suspectum,,,7/15/1950,C.M. Bogert,Quijotoa,,,USA,32.126808,-112.137376,Arizona,844,Pima,5,,Yes,,,,,,,,,,,,,
AMNH,,72469,AMNH72469,suspectum,,,Apr-38,C.M. Bogert,Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,72646,AMNH72646,suspectum,,,Aug-52,C. Lowe,vicinity of Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,72748,AMNH72748,suspectum,,,Aug-52,C. Lowe,vicinity of Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,72908,AMNH72908,suspectum,,,1951,C. Lowe,vicinity of Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,72999,AMNH72999,suspectum,,,1952,C.H. Lowe Jr.,vicinity of Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,73600,AMNH73600,suspectum,,,Unknown,C.M. Bogert,Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,73621,AMNH73621,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,73771,AMNH73771,suspectum,,,1953,C.M. Bogert,vicinity of Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,73796,AMNH73796,suspectum,,,1953,C. Lowe,vicinity of Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,73797,AMNH73797,suspectum,,,1953,C. Lowe,vicinity of Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,73798,AMNH73798,suspectum,,,1953,C. Lowe,vicinity of Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,73835,AMNH73835,suspectum,,,Unknown,C. Lowe,vicinity of Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,74436,AMNH74436,suspectum,,,Unknown,C.H. Lowe,Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,74474,AMNH74474,suspectum,,,Unknown,C.H. Lowe,Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,74475,AMNH74475,suspectum,,,Unknown,C.H. Lowe,Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,74534,AMNH74534,suspectum,,,8/4/1948,B. Gardner,"McGee Mine, Peloncillo Mt. Range, 21 mi. West of Lordsburg",,,USA,32.370963,-109.038548,New Mexico,1570,Hidalgo,10,,Yes,,,,,,,,,,,,,
AMNH,,74777,AMNH74777,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,74778,AMNH74778,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,74942,AMNH74942,suspectum,,,5/25/1955,B. Malkin,10 mi. North of Kino Road to Desemboque,,,Mexico,,,Sonora,,,,,flag to revisit later,,,,,,,,,,,,,
AMNH,,75108,AMNH75108,suspectum,,,Unknown,C.M. Bogert,"Santa Cruz, Near Amado",,,USA,31.707446,-111.064182,Arizona,942,Santa Cruz,5,,Yes,,,,,,,,,,,,,
AMNH,,75331,AMNH75331,suspectum,,,Jul-55,C.M. Bogert,vicinity of Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,75332,AMNH75332,suspectum,,,Jul-55,C.M. Bogert,vicinity of Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,76186,AMNH76186,suspectum,,,1954-1955,,near Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,76187,AMNH76187,suspectum,,,1954-1955,,near Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,87274,AMNH87274,suspectum,,,8/6/1961,H. Pough,"10.5 mi. East and 7 mi. North Douglas, Rt. 80",,,USA,31.457694,-109.373775,Arizona,1340,Cochise,10,,Yes,,,,,,,,,,,,,
AMNH,,90786,AMNH90786,suspectum,,,Unknown,D. McH. Forbes,"Eldorado, 7 km radius of Eldorado",,,Mexico,24.3202772,-107.3602791,Sinaloa,,,5,,Yes,,,,,,,,,,,,,
AMNH,,101369,AMNH101369,suspectum,,,5/10/1960,W.W. Tanner,2 mi. South of St. George,,,USA,37.0625,-113.5833333,Utah,792,Washington,10,,Yes,,,,,,,,,,,,,
AMNH,,103840,AMNH103840,suspectum,,,6/13/1967,B.A. Lund,"1.5 mi. E. Washington, on Hwy. 91",,,USA,37.14583333,-113.4791667,Utah,898,Washington,5,,Yes,,,,,,,,,,,,,
AMNH,,108834,AMNH108834,suspectum,,,9/1/1965,G.M. Tilger,Tucson,,,USA,32.221496,-110.925607,Arizona,761,Pima,20,,Yes,,,,,,,,,,,,,
AMNH,,109521,AMNH109521,suspectum,,,1955,C.M. Bogert,"Peloncillo Mts., Post Office Canyon",,,USA,31.740797,-108.993914,New Mexico,1670,Hidalgo,10,,Yes,,,,,,,,,,,,,
AMNH,,110174,AMNH110174,suspectum,,,5/25/1964,NY Zoological Society,near Tucson,,,USA,32.230954,-110.951786,Arizona,751,Pima,15,,Yes,,,,,,,,,,,,,
AMNH,,118698,AMNH118698,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,118699,AMNH118699,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,135249,AMNH135249,suspectum,,,Mar-50,P.G. Howes,"Goldfield Hills, near Signal Butte",,,USA,33.477315,-111.551044,Arizona,659,Maricopa,15,,Yes,,,,,,,,,,,,,
AMNH,,139226,AMNH139226,suspectum,,,6/22/1992,C. Rau,"Hwy. 80, 16.1 mi. NE Douglas",,,USA,31.494276,-109.331963,Arizona,1362,Cochise,5,,Yes,,,,,,,,,,,,,
AMNH,,139670,AMNH139670,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,141225,AMNH141225,suspectum,,,7/7/1994,R. Mendez,"Peloncillo Mts., Granite Gap, Hwy. 60",,,USA,32.088777,-108.972929,New Mexico,1371,Hidalgo,20,,Yes,,,,,,,,,,,,,
AMNH,,142627,AMNH142627,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,144542,AMNH144542,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,147173,AMNH147173,suspectum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
ASDM,,20011,ASDM20011,suspectum,,,Unknown,,"Rincon Mts, Rancho de Cielo.",,,USA,32.072786,-110.606494,Arizona,1115,Pima,10,,Yes,,,,,,,,,,,,,
ASDM,,20702,ASDM20702,suspectum,,,Unknown,,main Duval mining area.  SW corner of diggings.,,,USA,31.855566,-111.125929,Arizona,1280,Pima,1,,Yes,,,,,,,,,,,,,
ASDM,,21193,ASDM21193,suspectum,,,Unknown,,"Old Spanish Trail, 2 mi E of Escalante.",,,USA,32.1772107,-110.7382392,Arizona,930,Pima,10,,Yes,,,,,,,,,,,,,
ASDM,,21194,ASDM21194,suspectum,,,Unknown,,"Old Spanish Trail, 2 mi E of Escalante.",,,USA,32.1772107,-110.7382392,Arizona,930,Pima,10,,Yes,,,,,,,,,,,,,
ASDM,,21214,ASDM21214,suspectum,,,Unknown,,"5009 W. Dakota, Tucson",,,USA,32.1535245,-111.0578727,Arizona,806,Pima,1,,Yes,,,,,,,,,,,,,
ASDM,,21290,ASDM21290,suspectum,,,Unknown,,Sahuarita.,,,USA,31.9571143,-110.994873,Arizona,884,Pima,5,,Yes,,,,,,,,,,,,,
ASDM,,21570,ASDM21570,suspectum,,,Unknown,,"Avra Valley, at the deadend of Magee Rd. off of Sandario Rd.  Entrance to Ludwig Industries.",,,USA,32.103659,-111.223096,Arizona,763,Pima,1,,Yes,,,,,,,,,,,,,
ASDM,,21613,ASDM21613,suspectum,,,Unknown,,"1200 E. Placita Ardilla, Tucson.",,,USA,32.3127788,-110.9544467,Arizona,769,Pima,1,,Yes,,,,,,,,,,,,,
ASDM,,21615,ASDM21615,suspectum,,,Unknown,,3 mi E of pavement end on Redington Pass Rd.,,,USA,32.2575234,-110.6556701,Arizona,1009,Pima,15,,Yes,,,,,,,,,,,,,
ASDM,,21626,ASDM21626,suspectum,,,Unknown,,2 mi N of Sauharita Rd. on Houghton Rd.,,,USA,31.9932272,-110.7741165,Arizona,967,Pima,1,,Yes,,,,,,,,,,,,,
ASDM,,21864,ASDM21864,suspectum,,,Unknown,,"Benson Highway and Houghton Rd., Tucson.",,,USA,32.0622098,-110.7737731,Arizona,927,Pima,5,,Yes,,,,,,,,,,,,,
ASDM,,21951,ASDM21951,suspectum,,,Unknown,,Sells.,,,USA,31.911946,-111.880533,Arizona,730,Pima,5,,Yes,,,,,,,,,,,,,
ASDM,,86022,ASDM86022,suspectum,,,Unknown,,east Tucson.,,,USA,32.2186104,-110.8026123,Arizona,813,Pima,10,,Yes,,,,,,,,,,,,,
